,ISBN,Book-Title,Book-Author,Year-Of-Publication,ID-Author
3224,3596156963,Anleitung zum Unschuldigsein. Das Ã?Â?bungsbuch fÃ?Â¼r ein schlechtes Gewissen.,Florian Illies,2002,6764def18393bc8da8817bc1feeb3541b82368928c90f46517c852ea78b09c49
3225,3596122279,Das Superwieb,Hera Lind,2002,43f86939c86478f20d555240934641f41388585d3369fe828111ecb9dd21abb6
3226,3404141970,Wolfsherz.,Wolfgang Hohlbein,1999,ddaa0bf52692271f25ff3a099b4bed10ed5d636894eaa606ce98e52a10096c74
3227,0029281113,The Passionate Mind: Bringing Up an Intelligent and Creative Child,Michael Schulman,1991,e72aaf7b80bc2981059fd551e1854884130b618a046e8173804c8831bf20969c
3228,0517559552,The Little Boy Book: A Guide to the First Eight Years,Shelia Moore,1988,5728dded9e1bae078734da68210cfd2d086484e0974f08b266470cc0ed35b062
3229,0345338545,Follow the River,James Alexander Thom,1996,a479f6b17593826d41cd2abd275132065de41a3f78716bff69e3a76774c3c774
3230,0375701044,Personal History,Katharine Graham,1998,8b301c0bb1d82cb67b616d51ec4d78f95d382f4ce085da86e0377c5a59e31b49
3231,0316158720,The Archivist,Martha Cooley,1998,27793e42bcbd24a345e1ab9adb906af8e632b1bce9cce2ea79344d4a266c9af3
3232,0007154615,Unless : A Novel,Carol Shields,2003,4f53f83ebb46f236dce33576869503fef2072680a3b6d8b89c54e38fe17d7c9a
3233,0375412824,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002,fe334ad2662310ecc74460bc6734750187045c8f6132f8ea99e42fed77968426
3234,1558743669,A Child Called \It\: One Child's Courage to Survive,Dave Pelzer,1995,5239df6b387881d41165fcbb53e21e995c065b476ed0c12d8ccc94ce96bbe17a
3235,084236661X,The Strong-Willed Child: Birth Through Adolescence,James Dobson,1985,fcf8e2d6cb1e0183a8d23b733721ce6820eaaaf0d5a7054d7e945179e6da432d
3236,0708842100,A Wing and a Prayer,Graham Nown,1991,dd163c1042bcd8fe846137effc999f40b9c8fa5108dde6b2bbae121231edabd1
3237,059045367X,"Monster Blood (Goosebumps, No 3)",R. L. Stine,1995,01bbafdcdbbe9945e4bed1de6429b22d2ee6173dcdb5852b830bd21c06a61da5
3238,0590453661,"Stay Out of the Basement (Goosebumps, No 2)",R. L. Stine,1995,01bbafdcdbbe9945e4bed1de6429b22d2ee6173dcdb5852b830bd21c06a61da5
3239,059042761X,Wednesday Witch,Ruth Chew,1969,ae27e1f2cf068fd0648399ad70007b1a9463bf7d100eb476175c49697a86e581
3240,0385721617,Juno &amp; Juliet: A Novel,Julian Gough,2002,eac2262ddc53296f141382c4683179e3a9dc651e9bda9c51cce05720f67c4184
3241,0694013226,What to Expect When You Use the Potty (What to Expect Kids),Heidi Murkoff,2000,6f05d1b1394d028842497499fff96bffb14810fb4a10d1a23a1ef1b82a72292e
3242,0441005764,"Mossflower (Redwall, Book 2)",Brian Jacques,1998,77786a4547c425f548ebaeaa56bd0ff6ab568656e0530dbeea34d2e7b8b675c5
3243,0553582135,Final Target,Iris Johansen,2002,d62b90d354d57dbe09d418409dc14b06ec23f0c158df737cfde6ce78eca4c859
3244,0671034065,Mr. Perfect,Linda Howard,2000,1e648eddda9012639e37539f8e29c1c4eb2c6b307c0e538ec3c7168551a6c98a
3245,0451410777,Sleep Tight (Onyx Book),Anne Frasier,2003,ee7154deeef5b2e35950baf6740210dbcf4d623f703d308accc83c3aed2094cf
3246,0345418832,The Puzzled Heart (Kate Fansler Novels (Hardcover)),Amanda Cross,1998,b929fa7ec48e4361b259ac6ae2eb20da92fd8eff05fd1ae4a4031cb7cf4a84b0
3247,0671026801,The Hunted,Alan Jacobson,2001,822ba9f3002641d0bb937066d63ebc4840b877449147accbdf32e7369a1e5399
3248,0671024051,Mosaic,Gayle Lynds,1998,477da68a77bbf0a84150070282a5b690f919de061dc1492a794ab33f15bad28d
3249,0684869829,The Courtship Gift: A Novel,Julie Parsons,2000,33e5e7c8cfe773c467a83c178495f93c00391754c5f335729650b1155ad25b6e
3250,0399147772,Orchid Blues (Holly Barker Novels (Hardcover)),Stuart Woods,2001,d78fdde1367ef24bba9371744be875c99431add19e355f0552788c130692e2dc
3251,0440237416,Warning Signs,Stephen White,2003,68ecd1b2d682f8759500f2eee470e7a27d0487a32ce36256671becf5bb47882c
3252,0439101336,A Christmas Carol (Scholastic Classics),Charles Dickens,2000,bbfa259ea90fa369d639be75797e25d4078672a1bf953d7517e796d76e9967b5
3253,0399147284,Chosen Prey,John Sandford,2001,f798f1a117957e800c2d1be5341c0dab7939d0f16593b56ebb87d20ea227f470
3254,0684832380,MY GAL SUNDAY LARGE PRINT : \Henry and Sunday\ Stories,Mary Higgins Clark,1996,6f93b563188d740b28aef3ed1a8d64e657a7b425132d55581507099a5a0c3a1b
3255,039914210X,The Cat Who Tailed a Thief,Lilian Jackson Braun,1997,c3e6b787b6b635de5f01799bfab763a83360f940dd62cb357e5faf8732f19469
3256,0380730359,"Gone, Baby, Gone: A Novel",Dennis Lehane,1999,da59683c42d6d6e76891d208801b34e30cc0edd40d093782e70ca795792d49e2
3257,0374166560,The Great Victorian Collection,Brian Moore,1975,66dd5aac9c72ebd78526bcd3233c94a399e05ce540e1cb8ceb70cf45cc498b77
3258,0451150635,Different Seasons M/TV,Stephen King,1986,e143719d0b75379c77c75ec6cb49e9287621d495925b03b652ba7fd1fcccf75d
3259,3596132762,Ein Mann fÃ¼r eine Nacht: Roman (Die Frau in der Gesellschaft),Jil Karoly,1996,d0130e4567ac7e397b5a074cf46acbfb75a8b338f29c717bd950c785f9355dd3
3260,3492225926,Das WÃ?Â¼ten der ganzen Welt.,Maarten 't Hart,1999,46b7a4bdfa0ad35624e629390e09358449bf929ae448fed746fd52ea9443718c
3261,006018700X,Design for Dying,Timothy Leary,1997,d00efd6517938fd7e77856da31bc4a1e621a0f0bdb5ea21b4bdc98b38c5816cb
3262,0684836483,250 Things You Can Do to Make Your Cat Adore You,Ingrid Newkirk,1998,30624026f3e085a482e49212a4ec6cb01276e22fa5a77912ccac0100845e7c16
3263,0571174450,Touching from a Distance: Ian Curtis and Joy Division,Deborah Curtis,1996,93084dffe1df8b7dec37da07498284ef14600e449ea768c9e289836ca8340824
3264,0312848846,D/S: An Anti-Love Story,Gary S. Kadet,2000,4c8fa2dff0be1b258129c67718abae38191061b4b582c27b89497deecf45ed69
3265,0442043244,Philosopher Looks At Science,John G Kemeny,0,1b1f565cb4eecdb898cffbbc5353c8a106f2231beab10765bb618802a1cc6b2a
3266,0880381736,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,1990,214c5ed25d44fa0c383f1ccd25a38e0125784900000782e9016c2d6fd76f40a8
3267,8433966111,La Musica del Azar,Paul Auster,1998,c323220e9a0cd412da72a12aba962bc30c0fd791c142c3c976e98ad1eb4ac92f
3268,0767907817,Bookends : A Novel,Jane Green,2003,e98a4417567e94020fd6335994af76131d4e00fafe10591279d9effb407b0b5f
3269,0385720106,A Map of the World,Jane Hamilton,1999,aeffc3082b166b81ccf5ad0809e5bd1c3f652e27935a9e9a1d5a0f68b46bec26
3270,0553208845,Siddhartha,Hermann Hesse,1981,8a9fa03326429ebaa5a122b9ab813e05d0d04a0641182335f0c1f1f9ccdc216b
3271,0064400581,Julie of the Wolves (Julie of the Wolves),Jean Craighead George,1972,ed580dcfd61fae50a339ba4de51a8363ffe6efc60b1859a2cfaafd337b8b44b7
3272,0571142745,Buddha of Suburbia,Hanif Kureishi,0,8f9b82e411ffdd3db0a8a876c3a5e6e6849d7fa3887a488be9df4e66416e996e
3273,0898861780,Snowshoeing,Gene Prater,1988,d915a3d180b6ff552039a9bf7bb67c32eeb13c3d8574f6837a5daf80b7a081ed
3274,1586480456,"Sincerely, Andy Rooney",Andy Rooney,2001,dd967350b1ea66dafc5a016c09d79a06d480aea70a7302604cd5345fea76dbac
3275,030681188X,How to Lose Friends &amp; Alienate People,Toby Young,2002,f7fb51b6652501506395779c2ddea0e5a112e6ca535ae801e9fb9e322e98aaa8
3276,0688155022,"The Rise and Fall of the House of Barneys: A Family Tale of Chutzpah, Glory, and Greed",Joshua Levine,1999,c3c61960a73d1d0ec9b86d03095f4eea8fac6368245eeeb26ab130bae7fed85e
3277,088064219X,The Private Life of Kim Philby: The Moscow Years,Rufina Philby,2000,c61a242eb1a0ba4107e0dd044699108f32fc92454443da0296474e525fed4481
3278,1904095399,Who Was Dr.Charlotte Bach?,Francis Wheen,2002,6e42d57d3e320e626120150a9cefb26a62d10806939ac00c79fb6025acf712f0
3279,0743204158,The Pretender: How Martin Frankel Fooled the Financial World and Led the Feds on One of the Most Publicized Manhunts in History,Ellen Pollock,2002,9c81784c2462a125f5ca7447c95767fadc67eb5a562fd7cdb1316e16ed97da93
3280,0310225116,Springs in the Valley,L. B. Cowman,1980,f9aa2cae3c7131dc30391548da7a06b906ce85da93bf657f7bba9372b11df461
3281,0800758358,"The Stranger from Medina: A Novel (Bagdon, Paul. West Texas Sunrise, Bk. 3.)",Paul Bagdon,2003,19ed9f262e13be1071ddddfa0dc03485db7d7793f3458f55581a0794d73560f0
3282,0385050755,The Time It Never Rained,Elmer Kelton,1973,01938743aa2c1b5b49799b1a23208113a91b936c0361c4e633f5c7bef04388e3
3283,0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,8a2eeb415e944820075a69ad2a7e3bc4b63ae77e45e8a8d466b90206c733a0e8
3284,0072430958,"Taking Sides: Clashing Views on Controversial Issues in American History, Vol. I",Larry  Madaras,2001,f36fd87d44b0638465b11b2abd13af0f44ffaefb4a899528a96fdd0c723eb6d4
3285,0684823780,Mere Christianity,C. S. Lewis,1996,bd1b42a1db1f3a94c1f5a771ba98d2e511190891cc9ab578926d0194e3f9380c
3286,1576738442,The Prayer of Jabez Devotional,Bruce Wilkinson,2001,881da1947605096a674a90eabc6209e86dc3e39a3d95cfc3eda3a8cd09618f27
3287,0449219283,Snare of Serpents,Victoria Holt,1991,ba1d068d6c8df2dfc54fdd24621977ad69b9022ad8a27cf73389f2fe21b636ce
3288,0553574965,The Last Family,John R. Miller,1997,51daa6746204b03e0999da9e65f2a4ea5f2069909040d9cccb1d890b4f06651b
3289,0440225698,The Klone and I: A High-Tech Love Story,Danielle Steel,1999,f7ebfd6b85fbe3304f225837093b79a6859d94c06f7333542cf8a43273ce8562
3290,0440221471,The Runaway Jury,JOHN GRISHAM,1997,083f3f0619b1347ef9e6c5061ff1e936e87b5d26cf3761df45a8085ce3e7e593
3291,0394541545,Texas,James A. Michener,1990,18e639a403fb2c21ba78058762968a8d4f77589aeba8d00538ec92c3fcd08367
3292,0877958920,She Who Remembers,Linda Lay Shuler,1988,aeb967766dd26d4c2b6fc889f87b707ab0eac54eb57687cd2251647baac9c8a1
3293,0440235758,Going Overboard,Christina Skye,2001,03c34ac15d2b0d8d5d8d31fec6af566e0e3a5bfa1b9f69dc58bcadc371e01618
3294,0743216458,"Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,2001,e3075c5cd86d7f345f3cdb07a0f80dbbc3e888fca5f2524e456200bcf038370f
3295,0061007129,Kane &amp; Abel,Jeffrey Archer,1993,bc371ae1ee40d137e421f214822798e7f125863bb665547302c48dc28d47ef2d
3296,0886773784,"Arrows of the Queen ( The Heralds of Valdemar, Book 1)",Mercedes Lackey,1996,4a192fa8154efb3b8a7982d4a540c5353b4d07566554c0847c113d7b5aef20d9
3297,0440228204,The Unprotected Witness (Laurel-Leaf Books),James Stevenson,1999,9f6238b309fb1fc67a406c9d6bd9e620537d767c69eddd232e3b2ea49514ea7a
3298,0883657635,Roger Caras' Treasury of Great Cat Stories,Roger Caras,1992,fa284fe3b74af111e79084b2ed0dab725483f566b5018d21fa43f88b0fad0f3b
3299,0425143325,Without Remorse,Tom Clancy,2004,330ef45d86143e04706d9efc64d5518fed9b8cbef35f1e84cf373249ea2df8d0
3300,0425180964,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001,330ef45d86143e04706d9efc64d5518fed9b8cbef35f1e84cf373249ea2df8d0
3301,0812520793,Throne of Isis,Judith Tarr,1995,7e6f3f155e5209f0003eb274089435b2c6bad48941770c39c0bea348e3ce32af
3302,0312109393,The Bette Davis Murder Case,George Baxt,1994,b0f627bb1dbb4294cf6d4026236947b25182f6e5f59a9cdd8246a2d9fa5515e3
3303,0399148019,The Absence of Nectar,Kathy Hepinstall,2001,4bfb8fc6738bcbd235593e1e66db95041dd96049f5e82265c6bb3289f22a7b58
3304,8807014467,La Compagnia,Benni,1993,d52ec7488c123cc11289820b258de26d9e00bd9c6bc249214d4b95f6a6b6f396
3305,0373063121,Found: One Husband (Harlequin Medical Romance),Meredith Webber,2001,a1364d78d7ac6ba4a164575fa1bd1d11ca6ffa3414ba203b3f2f3d29afa9d087
3306,0140620869,Alice's Adventures in Wonderland (Penguin Popular Classics),Lewis Carroll,1994,49b7d89861ec04c116c27d36b138ceb4114ab6d112d2f4af9ccc91e7ba8f4ea5
3307,0553801589,The Tail of the Tip-Off,RITA MAE BROWN,2003,d7e18bec09be8e00cde909e2febecb0f7972df6a96bfffe4aa428b0a5bd9714f
3308,0743411250,The Woman Next Door,Barbara Delinsky,2002,13bec41f1d8c01ba29811df3eee9df7f82a9281471ce2edf87b06061071970a0
3309,0590129988,Clockwork : Or All Wound Up,Philip Pullman,1998,d86c52f987bc5cd1a69c7f010fd91cff7d7f97fd75543de633658645fa559e75
3310,0375700684,Powder Burn (Vintage Crime/Black Lizard),CARL HIAASEN,1998,8e850dfc60c73a0effddfb5867f2fe33bd7db35400aeab8cfb87231bc6188d37
3311,0375700692,Trap Line (Vintage Crime/Black Lizard),Carl Hiaasen,1998,f10d87bac07284d3e022d65d9ce16ab159a4c6646228356a1030f7fe2b2b5023
3312,0312955510,The Heart of Justice (Heart of Justice),William J. Coughlin,1995,352720bc49627a9c8fe0e9250534c4d24bd58cd9f05a633b3e1c405c794570fe
3313,8880891901,Frusciante,Brizzi,1999,a6b8f93ae47a9b9ea648b41b04e50daa376228e0471b0cbaa133a8474455e2cb
3314,0345396537,First King of Shannara,Terry Brooks,1997,40d4e71e542f0fcb8687521fc1b8ffb72b2c30727c0f84219cf3d6156d893134
3315,0452272092,So Far from God: A Novel,Ana Castillo,1994,0ef944a472c2bd9cb22952898c84283b207704027160c038d0209a11f67dc0ca
3316,3518383620,Der Kaiser von Amerika.,George Bernard Shaw,1992,ccec5a9c6d4bbb45b935a63dbe2e4378804aa5911f1385ea39d4f8b35bbd89b7
3317,3499262967,Die Teebarone.,Hella S. Haasse,2001,7a5c2b8ed55a5ad3f082d1af20d1183d254fabfbf5de244a2f470016ca974e7c
3318,3407808836,Jedes Sandkorn ist ein Buchstabe,Arnulf Zitelmann,2002,5da6a52eb76e2c7a5186bc8f2750675b65bceac321729b3f1e51c29d8f005be3
3319,3423085711,"Catherine, Lady wider Willen. Sonderausgabe.",Karen Cushman,2002,e1148462538e286363392384fed98871e79b885dcaeb43489cb8d60dd77eef9c
3320,3453159926,Atlantis.,Stephen King,1999,e143719d0b75379c77c75ec6cb49e9287621d495925b03b652ba7fd1fcccf75d
3321,3499137909,Der Plan von der Abschaffung des Dunkels.,Peter Hoeg,1998,968e737f034ad62d878d937a5c3b700293c31cf4895bbbaa10d9da2e7ba8ee40
3322,0747563721,The Man with the Dancing Eyes,Sophie Dahl,2003,ce551b2b33c737b33466991d71d03bd8052d9328a524f957bf9173b113f74cbf
3323,0451518845,Jane Eyre,Charlotte Bronte,1999,5b2ade7964ada38193117c19f262a32671d3d79fd55a8facf45e5a8e24b7458b
3324,0441009700,Tathea,Anne Perry,2002,9d1cdc4c8868b8f1839b075abff2fa052bb881d2e0deecd5b85ed50580d0dbcb
3325,0345395190,"Orion Arm: The Rampart Worlds: Book 2 (May, Julian. Rampart Worlds, Bk. 2.)",Julian May,2000,4f6626a52edbbd97ea07a854be4a13e96684b1edb6d645c8fe71cdad59941741
3326,0553265571,The Grey Horse,R.A. MacAvoy,1987,4a0240ed2c5dc3c25d09f31a895d27c3db7c17a89effdc90e0af6d8c3d2792fd
3327,0451521285,The Tragedy of Hamlet Prince of Denmark (Signet Classic Shakespeare Series),William Shakespeare,1993,684176b58bc762f64be76cf7a61576503853b7f3d5efe2d2028c1910fb9d966f
3328,0812566351,Prince of Whales,R. L. Fisher,1987,8e72e065284fd98d964d37dbfe3ab08eb424216de35ef288a878d6ff8d568207
3329,0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,ccf3ac74f522868efaaa7b45da27e2017ef6a7b4916377141aaee7798427edb3
3330,0440911710,Camilla (Laurel Leaf Books),MADELEINE L'ENGLE,1982,e99d70546d59d4b38d1d772fdb96a9d0de6ce47034e37181f38dffd81d933927
3331,0140298444,S.: A Novel About the Balkans,Slavenka Drakulic,2001,59645757fe6992130c0cd1ec2ed0e0740ab4d16a2c390cd0d2ce6fda4bf564c2
3332,0395869463,The Bookshop : A Novel,Penelope Fitzgerald,1997,ed549e7836134f3100077bd318474760f1f79cdb9c5ead06e35806fc14e7f6d7
3333,0064407721,Kissing the Witch: Old Tales in New Skins,Emma Donoghue,1999,4121e2818313b3c9a903b88fa5c59ba8d4cf5d9e6778415673875c16e8a0986e
3334,0684859785,The DREAMS OUR STUFF IS MADE OF: How Science Fiction Conquered the World,Thomas M. Disch,2000,5c1bf585b74ca60b5355277c7e1a9f2054fb2638bf353c506089ecf11fbe8087
3335,0156806479,Selected Poems (Harvest Book),T. S. Eliot,1967,0970a3050538cad43523b0b2a6a433badc3594eaf7ca496dabed130a83a3e566
3336,0553266055,All Things Wise and Wonderful,James Herriot,1981,84dcb4f830cec2548f8953e47a24ba811d795718c1eaacc8af559c71f7272c2c
3337,0345441443,Cruel As the Grave,Sharon Kay Penman,2001,eeded755a0ebb30a093c944e4ab6a787967ffd7e86c05b204ccd84fc44d9a952
3338,0802132952,Naked Lunch,William S. Burroughs,1992,90ac0c3e050517bfbb0f8faeb9e210d94b210706ce36c6b5857d166ad87537b6
3339,0441535771,Mistress Masham's Repose,T.H. White,1989,f43becdabbfad5f767d736f121b6e63eb2dc04b955e90e39ae34649ee639045e
3340,0812552989,First Book of Swords,Fred Saberhagen,1984,52ec17af7f5100a1428954075d22336263b42c181132bee3281e07f62d93c079
3341,0451521358,Macbeth,William Shakespeare,1989,684176b58bc762f64be76cf7a61576503853b7f3d5efe2d2028c1910fb9d966f
3342,0140089365,Q's Legacy,Helene Hanff,1986,0864379c5bc4c20bd5de844a91043d0716e9b5b294d80680c761bb33568d9f66
3343,0451455126,Night Screams: Twenty-Two Stories of Terror,Edward Gorman,1996,c3587162c4a8261b63d7ff2c7d8299027ecc0f2a8d1ecac4543270fe09bb01e3
3344,038072345X,Anno Dracula,Kim Newman,1994,b06fb93aa4081da0d3c8cf4d0db77ae5bad649067a08c6a6943e22562fe7ac7c
3345,1580173144,How to Sleep Soundly Tonight: 250 Simple and Natural Ways to Prevent Sleeplessness,Barbara L. Heller,2001,d08941c2d1e0f51212c62b81fa425be29fc201ecbea09f2475be08f4fb985933
3346,0671025570,Duane's Depressed,Larry McMurtry,1999,a4912f3e388964c6767fb5092ceaf7c2c7f5a4c61088bce876307ab27eb54ddf
3347,0553274864,A Grief Observed,C. S. Lewis,1983,bd1b42a1db1f3a94c1f5a771ba98d2e511190891cc9ab578926d0194e3f9380c
3348,1888604182,Seeking Wholeness: Insight into the Mystery of Experience,Roland Evans,2001,60e59169b2f2d9977fd6109c2d57a86ef2d2f836246d9e258a91cd0efe744439
3349,0805064362,After the Darkest Hour: How Suffering Begins the Journey to Wisdom,Kathleen A. Brehony,2001,871b167e95400aa1db3731668ce26a7aff6fcf8a702be6a93f14de8c3e596341
3350,0330336215,The Picador Book of the Beach,Robert Drewe,1996,0272ad88907cdd2f573574f12098f02dcf2aa0edf87abbe17bf05d91aa5af153
3351,8845909840,La variante di LÃ¼neburg (Fabula),Paolo Maurensig,1993,7e83d92328d02b0a0beb100b6e9e7684882b0a6609c05edba87e63f5c9d86595
3352,0061020710,The Color of Magic,Terry Pratchett,2000,41a40ab66efa0d6d070d53678f6bed48263c3df495262648c1ddc5cd6a10292e
3353,0440204887,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,1994,bc56dd4857f4d64794aa83cdf031ef983af560d6d69c2bbb798607aea4dfe108
3354,0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,91d62aca7d8021a1220ffcd19219106ce0c69d9686f82ef276ff6feb0804184d
3355,0812572297,Callahan's Secret,Spider Robinson,2002,723dd8c55d4cc619806fea011ead18e420ab78b654c2cad33e87c122ffd2cb1a
3356,0345272579,The Hobbit,J. R. R. Tolkien,1977,de197a85ec69095fa3ea914076ac63c8d28430924ab3542f760d046ad3b8abb6
3357,0385199570,The Stand (The Complete and Uncut Edition),Stephen King,1990,e143719d0b75379c77c75ec6cb49e9287621d495925b03b652ba7fd1fcccf75d
3358,0156007568,The Years with Laura Diaz,Carlos Fuentes,2001,d85b07cc3163b6120284e69b5fc0ef5e318ad9fd6f12af478f48abca0b219e68
3359,3426776545,Die FÃ?Â¼nf Tibeter.,Peter Kelder,2002,7e31f9c0ba93d9970ab6e8d655ccb5a884b1cf0fba44527eb4cb5ab5a1fe855f
3360,3404701704,Die Regeln des GlÃ?Â¼cks.,Dalai Lama,2001,ff4d8c39cdf0c73e73081b150b7ff761ea371ccab1fd6a5d2df0a4120307a539
3361,3423205202,Mittsommermord. Roman.,Henning Mankell,2002,14f9f57672b404002ea3920276771442a922c14e5ea4294105f736422bb59ab8
3362,3453169247,Der Verrat.,John Grisham,2000,df78095cfd0dc4483adcdc2abd93ced5034b064cb7524526deac0a7af3ee620e
3363,3442541751,Russendisko.,Wladimir Kaminer,2002,a4776949b5b016665395a462fd4b6a5a43d2cd290ebc02646c7fa5e8a26ca68f
3364,3423202947,Hunde von Riga.,Henning Mankell,2000,14f9f57672b404002ea3920276771442a922c14e5ea4294105f736422bb59ab8
3365,0374332657,Holes (Newbery Medal Book),Louis Sachar,1998,55184d039e6fc0e1dad3e997e69f269c646dee4cf085cdbfbff5b7a9d36ae1af
3366,0553298496,She's Not What She Seems (Sweet Valley High No. 92),Francine Pascal,1993,d2efd7674be791ca79cb82422f9c55d9ee6e2003e6f2fdcd66bde3c442177564
3367,0553255371,"Spring Break (Sweet Valley High Super Edition, No 3)",Francine Pascal,1986,d2efd7674be791ca79cb82422f9c55d9ee6e2003e6f2fdcd66bde3c442177564
3368,0451528018,The Hound of the Baskervilles (Signet Classics (Paperback)),Arthur Conan Doyle,2001,3de43504cdc3391df77218d3bb0c7fa226446fffaf0fafac81e1bc311b6cce82
3369,0842321942,Second Chance (Left Behind: The Kids #2),Jerry B. Jenkins,1998,26b4f3f21f02c0ed43d063e3c20ad6cb9a3ccb80a04aabb5e5c16846ec299960
3370,0842321934,The Vanishings (Left Behind: The Kids #1),Jerry B. Jenkins,1998,26b4f3f21f02c0ed43d063e3c20ad6cb9a3ccb80a04aabb5e5c16846ec299960
3371,1562475878,"Happy Birthday, Josefina!: A Springtime Story (American Girls Collection (Paper))",Valerie Tripp,1998,4341b9643c623c00e74efcd14851ffc3080ed23ce2e9cfddad78c0fc53a9a6d5
3372,1562475193,Josefina's Surprise: A Christmas Story (American Girls Collection (Paper)),Valerie Tripp,1997,4341b9643c623c00e74efcd14851ffc3080ed23ce2e9cfddad78c0fc53a9a6d5
3373,0590997262,The Stranger (Animorphs (Paperback Numbered)),Katherine Applegate,1997,9c18f08728c7828229a2f2edfbaaaa99333fed132bbca0b0ffb610ec80c34c23
3374,0590997297,"The Secret (Animorphs, No 9)",Katherine Applegate,1997,9c18f08728c7828229a2f2edfbaaaa99333fed132bbca0b0ffb610ec80c34c23
3375,0590762613,"The Experiment (Animorphs, No 28)",K. A. Applegate,1999,6d93d5922bf4331ae403151be7a39a2fdbf7b296f66a0beb73a711f0a51253a8
3376,0590213040,The Andalite's Gift (Animorphs : Megamorphs 1),K. A. Applegate,1997,6d93d5922bf4331ae403151be7a39a2fdbf7b296f66a0beb73a711f0a51253a8
3377,0439061652,Meet the Stars of Animorphs,Marie Morreale,1999,36f55217d90e2eaceca3c59a1849ed84da1ee59cb75bae5fa13dcf1c19777b92
3378,1584851651,"School Smarts: All the Right Answers to Homework, Teachers, Popularity, and More!",Brooks Whitney,2000,045a58e8c8bfe5fa5e0419cfa9153c172ead3062fad2747ae284b0dac7e34a52
3379,0141304707,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,2000,b12a5e4733eabeab8208c7b2ca337e60ddf7a9dd35bc95efe78ac1abd0248754
3380,0679866957,"Junie B. Jones and That Meanie Jim's B-Day (Junie B. Jones 6, paper)",Barbara Park,1996,4e7049d9826161733d64ff016024794c1c491833515957c4eb733aedcbb15eae
3381,059048575X,101 Telephone Jokes,Katy Hall,1994,0721212d714a816c7eff7991360aeba77914feb6a42ba0dee7c3448ab4c05639
3382,044048474X,Tales of a Fourth Grade Nothing,JUDY BLUME,1976,c7247fcf361b53897ac07473466819e42a71cdb3c282ce9145b10b95416f6fed
3383,1568657803,Help! I'm Laughing and I Can't Get Up,Liz Curtis Higgs,1998,4f68498b45228e4dbb7f868ff4888de28ad65144949e93d7b9f03a37a0718fd4
3384,0140309578,Pippi Longstocking (Seafarer Book),Astrid Ericsson Lindgren,1997,2ec843411d2ce993d401cad15f8af4954c9e4ae29124179234f889d33ae3aa42
3385,0671028049,"Scarabian Nights:Sabrina, The Teenage Witch #24",Nancy Holder,1999,cefa8a24718f43359e76f71cbd18b766a3694e4ff7f27d92425f5f0b235645f1
3386,0671019805,LOTSA LUCK SABRINA THE TEENAGE WITCH 10,Diana G. Gallagher,1998,95d1b3d0ca31f6cb575592233098e81618e01cb4b22433d9419cd1d183556880
3387,0671016954,"All You Need Is a Love Spell (Sabrina the Teenage Witch, 7)",Randi Reisfeld,1998,376d76bb7aeadfda52a310650a9bf0bd28a65a51cb9b851299165a4ee17b0982
3388,0671019791,A DOGS LIFE SABRINA THE TEENAGE WITCH 9,Cathy West,1998,55f86fbb57f7cebe5ae2273035d2120e19e3c917f99b2d1fce44174a7b838996
3389,044809553X,"The Sky Phantom (Nancy Drew Mystery Stories, No 53)",Carolyn Keene,1976,f59361a089c5e6c15367cb74f85cedb27bbebc1aea0092586124e215b55ecc78
3390,0671023810,"TEACHER'S PET: SALEM'S TAILS #2: SABRINA, THE TEENAGE WITCH",Patricia Barnes-Svarney,1998,eccd7cba5584e4431494afbdff19f508c01d96380277c8aed1237e194a2a88fa
3391,1561565601,Sabrina: Behind the Scenes,Stefanie Scott,1997,2ade6653868b69c39177a59491cb3d8f41872ff4f55f4d12ce3df907de413900
3392,0448095548,"The Strange Message in the Parchment (Nancy Drew Mystery Stories, No 54)",Carolyn Keene,1977,f59361a089c5e6c15367cb74f85cedb27bbebc1aea0092586124e215b55ecc78
3393,1584850167,Meet Kit: An American Girl : 1934 (American Girls Collection),Valerie Tripp,2000,4341b9643c623c00e74efcd14851ffc3080ed23ce2e9cfddad78c0fc53a9a6d5
3394,1562470752,Meet Addy: An American Girl (American Girls Collection (Paper)),Connie Porter,1993,0b9939e427934a7e3aab6cb21761d2624c5e3573b264140f5860bfaa202d6c2e
3395,1562470043,"Meet Felicity: An American Girl : 1774 (The American Girls Collection, Book 1)",Valerie Tripp,1991,4341b9643c623c00e74efcd14851ffc3080ed23ce2e9cfddad78c0fc53a9a6d5
